epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,8019.28,1.69534,0.98123,0.00778,0.82825,0.74851,0.81731,0.41268,1.76483,0.97218,0.01318,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,8277.53,1.69886,0.98293,0.0077,0.82695,0.7498,0.81251,0.4165,1.75185,0.95348,0.01312,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,8534.34,1.69576,0.95685,0.00781,0.83257,0.76237,0.8234,0.42012,1.76938,0.93759,0.01321,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,8790.99,1.68454,0.94103,0.00764,0.84638,0.75654,0.82865,0.4244,1.75084,0.90809,0.01283,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,9047.11,1.6756,0.9228,0.00766,0.8353,0.76902,0.83311,0.42502,1.74886,0.92174,0.0129,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,9303.95,1.68799,0.93887,0.00764,0.82898,0.79347,0.83342,0.42707,1.75542,0.89571,0.01294,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,9560.68,1.68121,0.9056,0.00761,0.83674,0.78278,0.83244,0.42844,1.74636,0.89897,0.01283,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,9817.77,1.67013,0.92027,0.0076,0.85213,0.7665,0.83449,0.43067,1.74453,0.91534,0.01275,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,10074.7,1.6586,0.90829,0.00754,0.83794,0.77781,0.83038,0.42832,1.74905,0.91278,0.01297,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,10333.8,1.65505,0.8962,0.00748,0.83777,0.79382,0.84187,0.433,1.73831,0.88722,0.01278,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,10589.7,1.65212,0.89456,0.00741,0.84167,0.78855,0.84255,0.43432,1.73074,0.88274,0.01259,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,10845.9,1.65959,0.88842,0.00747,0.84495,0.78369,0.84308,0.43723,1.73373,0.86814,0.0126,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,11103.3,1.66168,0.8703,0.0075,0.83326,0.79167,0.84326,0.43633,1.74982,0.8744,0.01271,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,11359.5,1.64094,0.88716,0.00747,0.85023,0.78303,0.84521,0.43859,1.73346,0.85931,0.01255,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,11616.5,1.64131,0.87475,0.00741,0.84324,0.78996,0.84653,0.43858,1.74117,0.88283,0.01272,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,11874.6,1.64097,0.84231,0.00735,0.85785,0.79574,0.84924,0.44043,1.73788,0.85744,0.01258,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,12134.4,1.63478,0.84896,0.00733,0.84607,0.79492,0.84839,0.43925,1.73324,0.86069,0.01259,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,12391,1.62621,0.84931,0.00729,0.84782,0.79725,0.84476,0.44063,1.73456,0.86466,0.01256,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,12646.3,1.62958,0.83524,0.00739,0.8505,0.80047,0.8513,0.44443,1.73636,0.85651,0.01256,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,12897.4,1.63369,0.82028,0.00724,0.85768,0.80398,0.85569,0.44656,1.73621,0.82891,0.01263,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,13150.3,1.61967,0.81761,0.0073,0.85017,0.80446,0.85438,0.44831,1.73136,0.84,0.01257,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,13405.6,1.62012,0.82268,0.00722,0.84907,0.80322,0.85377,0.44684,1.7378,0.84153,0.01267,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,13660.1,1.61166,0.8258,0.00725,0.85506,0.80599,0.85472,0.44491,1.72991,0.84833,0.01262,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,13913.6,1.61043,0.82185,0.00724,0.85664,0.81507,0.85884,0.44912,1.72474,0.82835,0.0125,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,14168.5,1.61155,0.79341,0.00719,0.85102,0.81949,0.85899,0.4483,1.73988,0.82757,0.01262,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,14421,1.60274,0.79555,0.00718,0.86934,0.80349,0.86053,0.44828,1.74641,0.82419,0.01276,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,14673.5,1.60352,0.79088,0.0071,0.84801,0.81589,0.86077,0.45007,1.73954,0.82539,0.01262,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,14929.4,1.6014,0.78853,0.0071,0.85979,0.81137,0.86083,0.45065,1.73992,0.81535,0.01258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
